Course_ID,Course_Code,Course_Name,Course_Description,Credit,Year,Semester,Is_Major_Elective
1,BG 1001,English I,"Lower intermediate academic English, with activities to foster reading, writing, listening, and speaking skills in an academic context .",3,1,1,FALSE
2,BG 1204,Calculus I,"Function, limits, continuity, differentiation, integration, introduction of numerical computation, surface integration, Fourier series .",3,1,1,FALSE
3,BG 1211,Physics I,"Mechanics of particles and rigid bodies, properties of matter, fluid mechanics, heat, vibrations, and waves .",3,1,1,FALSE
4,BG 1212,Physics Laboratory I,Experiments to be done according to BG 1211 Physics I .,1,1,1,FALSE
5,BG 0008,General Chemistry Laboratory,Experiments to be done according to BG 1108 General Chemistry,1,1,1,FALSE
6,BG 1108,General Chemistry,"Stoichiometry and basis of the atomic theory; properties of gas, liquid, solid and solution; chemical equilibrium; ionic equilibrium; chemical kinetic; electronic structures of atoms; chemical bonds; periodic properties; representative elements; nonmetal and transition metals.",3,1,1,FALSE
7,ME 1113,Engineering Drawing,"Descriptive geometry, orthographic, isometric and oblique drawings, drawing of mechanical parts, detailed drawing and assembly drawings, allowable tolerance, and surface details, applied geometry, dimensions and notes, orthographic projections, working drawing, auxiliary views, true length, grade and bearings of a line, true shape of a plane surface, perspective, sectional and developed drawings.",3,1,1,FALSE
8,ME 1114,Engineering Workshop,"Workshop on the use of the machine tools such as a lathe or milling machine, cutting tools, and drilling tools, for milling, cutting, drilling, and shaping metal materials. filing, grinding, and welding of metals. Carpentry is included. Students are required to make workpieces of metal and wood. A full report for each work is required.",2,1,1,FALSE
9,BG 1002,English II,"Intermediate academic English, reinforcing fluency and grammar with task-driven oral and writing exercises, developing vocabulary and sentence writing skills with combined reading comprehension exercises and writing practice.",3,1,2,FALSE
10,BG 1205,Calculus II,"Space vectors, matrices and determinants, linear analytic geometry, differential calculus of multivariable functions, vector analysis, linear integrals, surface integral and volume integrals.",3,1,2,FALSE
11,BG 1213,Physics II,Elements of electromagnetism; alternating current (A. C.) circuits; fundamental electronics; optics; modern physics.,3,1,2,FALSE
12,BG 1214,Physics Laboratory II,Experiments to be done according to BG 1213 Physics II,1,1,2,FALSE
13,BG 1221,Computer Programming,"Computer concepts, hardware and software interaction, current programming language, programming practices .",3,1,2,FALSE
14,IE 1110,Engineering Materials,"Study of relationship between structures, properties, production processes and applications of main groups of engineering materials i.e. metals, polymers, ceramics and composites, phase equilibrium diagrams and their interpretation, mechanical properties and materials degradation.",3,1,2,FALSE
15,BG 2000,English III,"Advanced English for academic and career purposes, emphasizing organization of ideas and clarity of expression and understanding.",3,2,1,FALSE
16,AE 2700,Fundamental Aircraft: Propulsion Theory,"Introduction to basic fundamental theory of aerospace propulsion system, background in the design and operation of different types of propulsion systems for aerospace applications to design, development, operation and maintenance of propulsion systems.",2,2,1,FALSE
17,AE 2921,Problem-based Training in Aircraft Maintenance I,Skill training on the aeronautic engineering and training at the actual work site.,1,2,1,FALSE
18,BG 2208,Discrete Mathematics,"Teachings of major world religions, the role of conscience, self-development in the moral arena, building self-esteem, self-knowledge, and good habits, distinguishing the right from the wrong, doing the right and refraining from the wrong, attaining a more fulfilling life.",3,2,1,FALSE
19,EE 2201,Electric Circuits,"Circuit elements, node and mesh analysis, circuit theorems, resistance, inductance, and capacitance, first and second o der circuits, phasor diagram, AC power circuits, three- phase systems.",3,2,1,FALSE
20,EE 2202,Electric Circuits Laboratory,Laboratory works to be done according to EE 2201 Electric Circuits.,1,2,1,FALSE
21,MCE 2101,Fundamentals of Mechatronics,"Introduction to Mechatronics and the interaction between mechanical actuation and electronic control,
early design evolution, evolution of engineering design, using of sensors in the system, case studies: simple
subsystem integration; modern technologies, control, sensors, power supplies and controlled drives,
Programmable Logic Control (PLC) as a controller for Mechatronics system, The need for a systems
approach to Engineering Design, Control and Embedded Intelligence or PLC. ",3,2,1,FALSE
22,MCE 2102,Fundamentals of Mechatronics Laboratory I,"Experiments covering basic sensors such as inductive, capacitive, magnetic, photoelectric and ultra sonic. Programmable Logic Controllers is introduced and experimental covering Ladder (LD), Structure Text (ST), Function Block Diagram (FBD) and Sequential Flow Chart (SFC) languages.",1,2,1,FALSE
23,BG 2001,English IV,"Advanced English for academic and career purposes, emphasizing critical and analytical skills, and formulating logical and coherent opinions.",3,2,2,FALSE
24,AE 2922,Problem-based Training in Aircraft Maintenance II,Skill training on the aeronautic engineering and training at the actual work site.,1,2,2,FALSE
25,EE 2605,Engineering Electronics,"Semiconductor devices; current-voltage and frequency characteristics; analysis and design of diode circuits; analysis and design of BJT, MOS, CMOS and BiCMOS transistor circuits, operational amplifier and its applications, power supply module.",3,2,2,FALSE
26,EE 2606,Engineering Electronics Laboratory,Laboratory works to be done according to EE 2605 Engineering Electronics.,1,2,2,FALSE
27,GE 2202,Ethics,"Teachings of major world religions, the role of conscience, self-development in the moral arena, building self-esteem, self-knowledge, and good habits, distinguishing the right from the wrong, doing the right and refraining from the wrong, attaining a more fulfilling life.",3,2,2,FALSE
28,ME 2211,Engineering Mechanics I,"Force systems, resultant, equilibrium, fluid statics, kinematics and kinetics of particles and rigid bodies, Newton’s second law of motion, work and energy, impulse and momentum.",3,2,2,FALSE
29,AE 3310,Aircraft Maintenance: Maintenance Human Factor,"Factors that might cause damage in maintenance, theory of human behavior and proactive model including how to avoid accidents during maintaining aircraft and maintenance safety.",1,3,1,FALSE
30,AE 3411,Aircraft System: Aviation Acts and Airworthiness Regulations,"Aviation Acts, Airworthiness Regulation. Laws which relate to maintenance and flight operation based on FAA and EASA.",3,3,1,FALSE
31,AE 3710,Aircraft Maintenance: Aircraft Maintenance I,"Basic aircraft maintenance which concerns the importance, the meaning, the program of maintenance and the organization, and general regulations related to maintenance.",3,3,1,FALSE
32,AE 3722,Fundamental Aircraft: Aerodynamics,"Basic knowledge of aviation, namely fluid dynamics, introduction to flight, flight dynamics, types of aircraft and behaviors of aircraft onboard.",2,3,1,FALSE
33,AE 3723,Fundamental Aircraft: Aircraft Structure,"Basic aircraft structure both theory of basic structure and strength of material, including fatigues and components of airframe and joints.",3,3,1,FALSE
34,AE 3724,Fundamental Aircraft: Aircraft Material,"Basic theory and basic knowledge of aircraft material, types of material especially composite material including the analysis of the problem and fixing.",3,3,1,FALSE
35,AE 3921,Problem-based Training in Aircraft Maintenance III,Skill training on the aeronautic engineering and training on the actual work site. ,1,3,1,FALSE
36,AE 3311,Aircraft System: Technical Document System,"Common and manufacturing aircraft manual, service letters, service bulletin and other issued documents, which are presented in terms of ATA system for working in maintenance.",3,3,2,FALSE
